icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,velocity_kmh,is_flying
aa9f5c,N78395,United States,1765750876.0,1765750876,-85.4727,38.1446,617.22,False,52.72,162.98,2.93,,716.28,,False,0,189.792,True
a7e8b8,N609AK,United States,1765750590.0,1765750590,-97.0955,32.6691,,True,2.06,16.88,,,,,False,0,7.416,False
ac96b8,AAL2181,United States,1765750875.0,1765750875,-86.8197,33.6547,10363.2,False,198.88,264.81,0.0,,10599.42,6327,False,0,715.968,True
a8a812,N657PT,United States,1765750876.0,1765750876,-121.443,37.69,1005.84,False,123.49,271.19,0.33,,1051.56,,False,0,444.56399999999996,True
a3feec,N357BE,United States,1765750876.0,1765750876,-99.2632,43.2571,12192.0,False,184.79,343.84,-0.33,,12344.4,2132,False,0,665.244,True
408121,VIR47GH,United Kingdom,1765750844.0,1765750861,-67.2483,49.6477,12192.0,False,214.52,231.43,0.0,,11666.22,,False,0,772.272,True
a53edd,GPD437,United States,1765750627.0,1765750627,-70.1387,41.0841,967.74,False,123.16,103.28,0.0,,861.06,2304,False,0,443.376,True
39de57,TVF91KK,France,1765750876.0,1765750876,2.4156,48.7549,297.18,False,65.82,242.03,-3.9,,411.48,1000,False,0,236.95199999999997,True
ab6fdd,AAL1028,United States,1765750876.0,1765750876,-70.0134,12.6099,2362.2,False,158.64,316.31,14.96,,2430.78,,False,0,571.1039999999999,True
a0f57e,N161B,United States,1765750876.0,1765750876,-114.6926,35.8913,6324.6,False,218.07,130.98,16.91,,6568.44,,False,0,785.052,True
c07d20,JZA7971,Canada,1765750876.0,1765750876,-78.1156,43.7697,5006.34,False,187.57,251.61,-9.75,,4701.54,0647,False,0,675.252,True
440da5,EJU91LZ,Austria,1765750876.0,1765750876,-3.064,42.4217,11285.22,False,236.74,243.55,-0.33,,11391.9,3724,False,0,852.264,True
880452,AIQ154,Thailand,1765750876.0,1765750876,96.4319,14.4879,11277.6,False,245.42,103.95,0.33,,11955.78,,False,0,883.512,True
39de50,TVF97HM,France,1765750876.0,1765750876,2.324,49.1033,2948.94,False,135.88,268.26,-12.35,,3048.0,1000,False,0,489.168,True
